Hop,Hop_Delay,Hop_SEM,Cumm_Hop_Delay,Cumm_Hop_SEM
1,439.593551340285,16.95470589815845,439.593551340285,16.95470589815845
2,425.0920669413132,15.846031229819825,864.6856182815982,23.98265496660631
3,383.8810016046197,12.577142477892416,1248.5666198862177,26.691675038212985
4,426.43450385058424,16.811502166005784,1675.001123736802,31.20754740659064
