Test,RTX_1,Hop1,RTX_2,Hop2,RTX_3,Hop3,RTX_4,Hop4,Nodal_HopUp,Nodal_HopDown,RTT
0,0,243,0,384,0,229,0,305,1648,1642,4278
1,0,316,0,265,0,249,0,282,1598,1617,4195
2,0,226,0,293,0,281,0,254,1546,1578,4328
3,0,217,0,333,1,554,0,257,1586,1595,4324
4,0,376,0,233,0,281,0,296,1642,1610,4471
5,0,229,0,286,0,263,0,228,1571,1620,2964
6,2,1161.8412060301507,0,298,0,407,2,1589.8412060301507,1622,1558,5165.841206030151
7,0,337,0,238,2,1103.8412060301507,1,328,1661,1583,4310
8,3,2157.6824120603014,0,238,0,272,1,283,1377,1593,5895.682412060301
9,0,329,0,276,0,418,0,182,1562,1648,4456
10,0,260,0,725,0,255,0,335,1562,1546,4496
11,0,308,0,407,0,237,0,356,1459,1639,2972
12,0,227,0,296,0,236,1,451,1609,1340,4214
13,0,265,0,245,1,331,0,305,1576,1613,4260
14,0,283,0,343,0,318,0,276,1578,1711,4286
15,3,1893.6824120603014,0,268,0,333,0,299,1644,1627,5985.682412060301
16,0,205,0,280,0,343,0,278,1598,1653,4555
17,0,285,0,1416,0,396,0,238,1595,1579,4322
18,0,246,0,261,0,250,0,359,1546,1585,4122
19,0,342,0,257,0,282,0,336,1619,1674,4486
20,0,252,0,387,0,388,0,295,1656,1632,4329
21,0,299,0,293,0,289,0,283,1601,1546,4150
22,0,258,0,259,0,277,0,335,1547,1621,4494
23,0,298,0,284,0,943,1,284,1346,1644,4021
24,0,277,0,243,0,333,0,349,1573,1586,4344
25,0,237,0,252,0,272,0,330,1590,1597,5392.841206030151
26,0,313,0,288,0,272,0,291,1716,1527,4264
27,0,310,0,304,0,277,0,308,1459,1596,4017
28,0,245,0,298,3,1977.6824120603014,1,300,1674,1545,4361
29,0,279,0,267,0,266,0,237,1590,1582,4208
30,0,288,0,280,0,250,0,231,1341,1586,4489
31,0,273,0,240,0,286,0,329,1538,1573,4374
32,3,1964.6824120603014,0,210,1,737,1,296,1609,1555,5957.682412060301
33,3,1966.6824120603014,0,295,0,269,0,354,1705,1578,5975.682412060301
34,0,234,1,292,0,301,0,309,1682,1504,4164
35,0,544,0,251,0,296,1,293,1546,1586,4535
36,0,240,0,287,0,281,1,269,1705,1705,4382
37,3,1950.6824120603014,0,236,0,226,0,293,1622,1546,5783.682412060301
38,0,301,0,266,1,375,0,261,1537,1607,4282
39,0,281,0,218,0,324,0,319,1527,1583,4276
40,0,272,0,248,0,233,0,224,1665,1580,4215
41,2,1271.8412060301507,0,291,0,291,0,238,1448,1619,5375.841206030151
42,0,339,0,389,0,241,0,225,1536,1546,4492
43,0,187,0,207,0,236,0,329,1555,1663,4306
44,0,322,0,393,0,236,0,230,1554,1408,4399
45,0,267,0,310,1,283,2,1075.8412060301507,1683,1704,4365
46,0,299,0,294,0,280,0,176,1643,1552,4470
47,0,311,2,1210.8412060301507,0,226,0,276,1496,1581,4223
48,2,1101.8412060301507,0,262,1,233,0,293,1554,1546,5383.841206030151
49,0,279,0,201,0,241,0,250,1655,1668,4366
50,0,252,0,272,0,421,0,306,1638,1650,4165
51,1,289,3,2077.6824120603014,0,394,0,255,1341,1545,4340
52,0,379,1,201,0,280,0,275,1604,1645,4509
53,0,271,0,362,0,361,0,264,1587,1503,4234
54,0,277,0,291,0,255,0,251,1705,1578,4464
55,0,266,0,393,1,235,1,288,1662,1592,4288
56,0,338,0,272,0,324,0,208,1643,1555,4543
57,0,324,1,272,0,241,1,287,1581,1668,4245
58,1,325,0,292,0,276,2,1196.8412060301507,1545,1716,4641
59,0,252,1,286,0,311,0,354,1546,1616,4292
60,0,301,1,250,3,2162.6824120603014,0,221,1663,1581,4337
61,0,256,2,1107.8412060301507,0,316,0,287,1706,1631,4491
62,0,257,0,262,1,354,0,325,1627,1617,4308
63,0,257,2,1009.8412060301507,0,277,0,252,1576,1503,4499
64,3,2399.6824120603014,0,231,0,259,0,297,1538,1596,6194.682412060301
65,0,249,0,224,0,277,0,400,1656,1627,4074
66,0,376,0,283,0,302,3,1896.6824120603014,1633,1631,4095
67,0,316,0,385,1,273,0,228,1560,1617,4361
68,0,234,0,336,0,301,0,243,1730,1639,4379
69,0,252,1,253,0,288,0,231,1644,1586,4175
70,0,328,0,274,0,224,0,279,1446,1677,4548
71,0,227,0,309,0,181,0,298,1576,1664,4385
72,0,284,0,245,0,268,1,241,1442,1625,4645
73,0,147,0,239,0,247,0,317,1575,1554,4088
74,0,282,1,338,1,208,0,491,1688,1554,3053
75,0,243,0,383,2,1205.8412060301507,0,273,1497,1655,4435
76,0,311,0,357,0,471,0,251,1514,1545,4417
77,1,263,0,341,1,279,0,228,1634,1586,4413
78,0,284,0,293,0,354,1,321,1631,1601,4863
79,0,230,0,360,0,245,0,496,1571,1514,4344
80,0,289,1,193,0,276,0,252,1341,1643,4380
81,0,227,0,244,1,247,0,368,1663,1591,4367
82,0,231,0,246,1,228,3,2097.6824120603014,1611,1537,4467
83,1,360,0,407,0,226,0,261,1586,1527,4471
84,1,244,1,337,0,267,0,290,1202,1683,4211
85,0,409,0,266,1,260,0,294,1572,1538,4280
86,0,272,0,253,0,340,0,285,1661,1592,4274
