Distance,Hop,RTT_Mean,RTT_Std_Dev,RTT_SEM,PLR_Mean,PLR_Std_Dev,PLR_SEM,Type,Drive_Time
1km,1,3024.1676361809045,316.0822704456862,10.000400476970897,0.054349999999999996,0.1107861791921718,0.003505119593303967,Liando (NLOS),600000
1km,2,3230.544890452261,601.87434330071,19.04246151273845,0.0694859307359307,0.09992724060626058,0.003161557980497202,Liando (NLOS),1200000
1km,3,3435.6827326633165,834.4265215647067,26.400086827036215,0.07554908702408701,0.0919997402564232,0.002910742969051238,Liando (NLOS),1800000
1km,4,3668.5239527638187,950.6693830369762,30.077848207554705,0.08410674325674326,0.0855631238117012,0.0027070974369145743,Liando (NLOS),2400000
1km,5,3880.5570482412054,1088.8484136889736,34.449639267177126,0.08618472850678728,0.07700781355165322,0.0024364193989323104,Liando (NLOS),3000000
1km,6,4070.0223195979897,1213.1279016912463,38.38166825868993,0.08676855189444196,0.07396418804117674,0.0023401233492874756,Liando (NLOS),3600000
1km,7,4291.713397989949,1253.0369855583388,39.64433579387686,0.08984046513342177,0.06738686832619581,0.002132026162684319,Liando (NLOS),4200000
1km,8,4472.96468643216,1297.31019785001,41.04507824201978,0.0901135902173087,0.062338143244459195,0.0019722915700281026,Liando (NLOS),4800000
1km,9,4617.530326633165,1418.3655672715208,44.875100635859766,0.08824590921960485,0.059192962005774195,0.0018727824393351487,Liando (NLOS),5400000
1km,10,4881.055624120602,1519.9729869848968,48.08981713081746,0.09145744032995155,0.05838678779051429,0.0018472762159223676,Liando (NLOS),6000000
