Hop,Hop_Delay,Hop_SEM,Cumm_Hop_Delay,Cumm_Hop_SEM
400,1,439.593551340285,16.95470589815845,439.593551340285,16.95470589815845
400,2,425.0920669413132,15.846031229819825,864.6856182815982,23.98265496660631
400,3,383.8810016046197,12.577142477892416,1248.5666198862177,26.691675038212985
400,4,426.43450385058424,16.811502166005784,1675.001123736802,31.20754740659064
200,1,307.61323132177404,6.4597097630526585,307.61323132177404,6.4597097630526585
200,2,310.11721168404586,6.2336648639349255,617.7304430058199,8.866164129069983
200,3,300.9184893436149,4.700498289264342,918.6489323494349,10.016024654495496
200,4,304.5857274359787,7.577297810468151,1223.2346597854137,13.363921049949104
100,1,296.3453453453453,3.2708472578714627,296.3453453453453,3.2708472578714627
100,2,290.4094094094094,2.4640075911230612,586.7547547547548,4.163459310045829
100,3,290.1041041041041,2.69362832673586,876.8588588588589,5.060536430848513
100,4,288.54554554554556,2.38833303235303,1165.4044044044044,5.617351816972539
